Product Name,Price,Rating,No of Reviews,ASIN,Manufacturer,URL
Red Lemon Medium Size Unisex Adult Bange Series Rhombus Shell Design Waterproof Sling Bag With Usb Charging,"1,899","['4.1', 'out', 'of', '5', 'stars']",95,‎B09VGNTDRZ,"‎FOREVERBAGSIBLDNG.NO.B7B,GALANO.102/103/104,ParasnathComplex,Bhiwandi-421302",https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxOTU3MzI5OTQ0NDExNjA0OjE2OTMyMjkxOTc6c3BfbXRmOjIwMDk4NzE5MDg2ODk4OjowOjo&url=%2FRed-Lemon-Unisex-adult-Waterproof-Charging%2Fdp%2FB09VGNTDRZ%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1693229197%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,899,"['4.3', 'out', 'of', '5', 'stars']","6,543",‎B07M9BRCQ5,‎No,https://www.amazon.in//FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1693229197&sprefix=ba%2Caps%2C283&sr=8-13
POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"1,399","['4.1', 'out', 'of', '5', 'stars']","5,896",‎B09CQ5T3LN,‎No,https://www.amazon.in//Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1693229197&sprefix=ba%2Caps%2C283&sr=8-14
Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,819,"['3.9', 'out', 'of', '5', 'stars']","10,146",‎B08YZ8FFBZ,"‎AkshayaRubbers,HebbalIndustrialArea,Mysore",https://www.amazon.in//Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1693229197&sprefix=ba%2Caps%2C283&sr=8-15
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",849,"['4.3', 'out', 'of', '5', 'stars']","5,630",‎B07YDGQQN5,‎FurJaden,https://www.amazon.in//Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1693229197&sprefix=ba%2Caps%2C283&sr=8-16
Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,649,"['3.6', 'out', 'of', '5', 'stars']",249,‎B0C23Z9W18,‎Half_Moon,https://www.amazon.in//Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1693229197&sprefix=ba%2Caps%2C283&sr=8-17
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",839,"['4.3', 'out', 'of', '5', 'stars']","4,334",B08R7RPVJF,‎Half_Moon,https://www.amazon.in//Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1693229197&sprefix=ba%2Caps%2C283&sr=8-18
Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,979,"['4.4', 'out', 'of', '5', 'stars']","6,067",‎B07G4F6XFH,‎GearMerchandisePVTLTD,https://www.amazon.in//Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1693229197&sprefix=ba%2Caps%2C283&sr=8-19
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,"1,049","['4.0', 'out', 'of', '5', 'stars']","8,369",‎B097RJ22Q3,‎BagzoneLifestylePvtLtd,https://www.amazon.in//Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1693229197&sprefix=ba%2Caps%2C283&sr=8-20
Forever Manifest Large 35 L Laptop Backpack Spacy unisex Backpack with rain cover (Navy Blue),799,No rating,No reviews,‎B0B9JRQ7HH,"‎FOREVERBAGSIBLDNG.NO.B7B,GALANO.102/103/104,ParasnathComplex,Bhiwandi-421302",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNzUzNzgyMDIwMDY2NjA0OjE2OTMyMjIwNzc6c3BfYXRmX25leHQ6MjAxMDMyNzYzMDM0OTg6OjA6Og&url=%2FForever-Manifest-Laptop-Backpack-unisex%2Fdp%2FB0B9JRQ7HH%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1693222077%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
FRBG-NAVY BLUE LAPTOP BACKPACK,799,5.0 out of 5 stars,1,‎B0B5VHV5NH,"‎FOREVERBAGSIBLDNG.NO.B7B,GALANO.102/103/104,ParasnathComplex,Bhiwandi-421302",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNzUzNzgyMDIwMDY2NjA0OjE2OTMyMjIwNzc6c3BfYXRmX25leHQ6MjAxMDMyNzYzMDQxOTg6OjA6Og&url=%2FGeneric-FRBG-004-FRBG-NAVY-LAPTOP-BACKPACK%2Fdp%2FB0B5VHV5NH%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1693222077%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,199,3.7 out of 5 stars,7.1K+,‎B019HA8AYG,‎No,https://www.amazon.in//GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-19
