Product Name,Price,Rating,No of Reviews,ASIN,Manufacturer,URL
Forever Manifest Large 35 L Laptop Backpack Spacy unisex Backpack with rain cover (Navy Blue),799,No rating,No reviews,‎B0B9JRQ7HH,"‎FOREVERBAGSIBLDNG.NO.B7B,GALANO.102/103/104,ParasnathComplex,Bhiwandi-421302",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNzUzNzgyMDIwMDY2NjA0OjE2OTMyMjIwNzc6c3BfYXRmX25leHQ6MjAxMDMyNzYzMDM0OTg6OjA6Og&url=%2FForever-Manifest-Laptop-Backpack-unisex%2Fdp%2FB0B9JRQ7HH%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1693222077%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
FRBG-NAVY BLUE LAPTOP BACKPACK,799,5.0 out of 5 stars,1,‎B0B5VHV5NH,"‎FOREVERBAGSIBLDNG.NO.B7B,GALANO.102/103/104,ParasnathComplex,Bhiwandi-421302",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNzUzNzgyMDIwMDY2NjA0OjE2OTMyMjIwNzc6c3BfYXRmX25leHQ6MjAxMDMyNzYzMDQxOTg6OjA6Og&url=%2FGeneric-FRBG-004-FRBG-NAVY-LAPTOP-BACKPACK%2Fdp%2FB0B5VHV5NH%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1693222077%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,199,3.7 out of 5 stars,7.1K+,‎B019HA8AYG,‎No,https://www.amazon.in//GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-19
Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,843,3.6 out of 5 stars,921,‎B08WQ668WJ,‎AtulituAgency,https://www.amazon.in//Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-20
Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),387,4.3 out of 5 stars,7.9K+,‎B07XXFB9CZ,‎No,https://www.amazon.in//SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-21
ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,499,3.9 out of 5 stars,1.1K+,‎B09TPX22NF,‎ADISA,https://www.amazon.in//ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-22
Red Lemon Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Semi Waterproof USB with Anti Theft Pocket Travel Backpack,"2,844",4.3 out of 5 stars,1.7K+,‎B07XYTZP4Z,‎RedLemon,https://www.amazon.in//Swisslook-Polyester-15-6-inch-Backpack-Waterproof/dp/B07XYTZP4Z/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-23
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,115",4.3 out of 5 stars,6.1K+,‎B075MK4TXP,‎GearMerchandisePVTLTD,https://www.amazon.in//Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-24
Arctic Fox 15 Liters Draw String Bag Lavender Backpack,209,4.2 out of 5 stars,3.5K+,‎B08L6Q9V1H,‎ArcticFox,https://www.amazon.in//Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-25
"Golden Wolf Laptop Bag Anti-theft Backpack with Lock College School Laptop Backpack with Rain Cover Water Resistant Business Backpack with USB Port for 15.6-inch Laptop Office Travel Bag for Men and Women Gifts, Dark Grey","1,999",4.4 out of 5 stars,3.5K+,‎B08HM4TQZZ,‎aharctichunter,https://www.amazon.in//Hoteon-Backpack-Anti-Theft-Earphone-Resistant/dp/B08HM4TQZZ/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-26
